Community Area,Primary Type,Year,ID
17.0,ROBBERY,2012,36
17.0,ROBBERY,2013,28
17.0,ROBBERY,2014,20
17.0,ROBBERY,2015,30
17.0,ROBBERY,2016,53
17.0,ROBBERY,2017,29
17.0,ROBBERY,2018,14
17.0,SEX OFFENSE,2001,1
17.0,SEX OFFENSE,2002,15
17.0,SEX OFFENSE,2003,17
17.0,SEX OFFENSE,2004,19
17.0,SEX OFFENSE,2005,20
17.0,SEX OFFENSE,2006,7
17.0,SEX OFFENSE,2007,10
17.0,SEX OFFENSE,2008,13
17.0,SEX OFFENSE,2009,8
17.0,SEX OFFENSE,2010,8
17.0,SEX OFFENSE,2011,8
17.0,SEX OFFENSE,2012,16
17.0,SEX OFFENSE,2013,5
17.0,SEX OFFENSE,2014,7
17.0,SEX OFFENSE,2015,10
17.0,SEX OFFENSE,2016,7
17.0,SEX OFFENSE,2017,5
17.0,SEX OFFENSE,2018,6
17.0,STALKING,2002,1
17.0,STALKING,2003,1
17.0,STALKING,2004,3
17.0,STALKING,2005,1
17.0,STALKING,2006,2
17.0,STALKING,2007,1
17.0,STALKING,2008,1
17.0,STALKING,2009,3
17.0,STALKING,2010,1
17.0,STALKING,2012,2
17.0,STALKING,2014,1
17.0,STALKING,2015,1
17.0,STALKING,2016,1
17.0,THEFT,2001,11
17.0,THEFT,2002,539
17.0,THEFT,2003,707
17.0,THEFT,2004,634
17.0,THEFT,2005,597
17.0,THEFT,2006,549
17.0,THEFT,2007,617
17.0,THEFT,2008,764
17.0,THEFT,2009,692
17.0,THEFT,2010,456
17.0,THEFT,2011,474
17.0,THEFT,2012,451
17.0,THEFT,2013,402
17.0,THEFT,2014,297
17.0,THEFT,2015,311
17.0,THEFT,2016,328
17.0,THEFT,2017,296
17.0,THEFT,2018,95
17.0,WEAPONS VIOLATION,2002,8
17.0,WEAPONS VIOLATION,2003,3
17.0,WEAPONS VIOLATION,2004,18
17.0,WEAPONS VIOLATION,2005,15
17.0,WEAPONS VIOLATION,2006,7
17.0,WEAPONS VIOLATION,2007,11
17.0,WEAPONS VIOLATION,2008,16
17.0,WEAPONS VIOLATION,2009,10
17.0,WEAPONS VIOLATION,2010,6
17.0,WEAPONS VIOLATION,2011,3
17.0,WEAPONS VIOLATION,2012,5
17.0,WEAPONS VIOLATION,2013,9
17.0,WEAPONS VIOLATION,2014,6
17.0,WEAPONS VIOLATION,2015,9
17.0,WEAPONS VIOLATION,2016,6
17.0,WEAPONS VIOLATION,2017,12
17.0,WEAPONS VIOLATION,2018,5
18.0,ARSON,2002,3
18.0,ARSON,2003,4
18.0,ARSON,2004,1
18.0,ARSON,2005,2
18.0,ARSON,2006,1
18.0,ARSON,2008,5
18.0,ARSON,2009,4
18.0,ARSON,2010,3
18.0,ARSON,2011,1
18.0,ARSON,2012,2
18.0,ARSON,2014,2
18.0,ARSON,2015,2
18.0,ARSON,2016,1
18.0,ASSAULT,2002,56
18.0,ASSAULT,2003,52
18.0,ASSAULT,2004,48
18.0,ASSAULT,2005,62
18.0,ASSAULT,2006,53
18.0,ASSAULT,2007,56
18.0,ASSAULT,2008,53
18.0,ASSAULT,2009,62
18.0,ASSAULT,2010,52
18.0,ASSAULT,2011,47
18.0,ASSAULT,2012,47
18.0,ASSAULT,2013,27
18.0,ASSAULT,2014,35
18.0,ASSAULT,2015,43
18.0,ASSAULT,2016,43
18.0,ASSAULT,2017,35
18.0,ASSAULT,2018,23
18.0,BATTERY,2002,111
18.0,BATTERY,2003,185
18.0,BATTERY,2004,139
18.0,BATTERY,2005,151
18.0,BATTERY,2006,145
18.0,BATTERY,2007,155
18.0,BATTERY,2008,166
18.0,BATTERY,2009,168
18.0,BATTERY,2010,155
18.0,BATTERY,2011,128
18.0,BATTERY,2012,117
18.0,BATTERY,2013,114
18.0,BATTERY,2014,80
18.0,BATTERY,2015,97
18.0,BATTERY,2016,133
18.0,BATTERY,2017,140
18.0,BATTERY,2018,43
18.0,BURGLARY,2002,83
18.0,BURGLARY,2003,134
18.0,BURGLARY,2004,73
18.0,BURGLARY,2005,71
18.0,BURGLARY,2006,81
18.0,BURGLARY,2007,76
18.0,BURGLARY,2008,95
18.0,BURGLARY,2009,120
18.0,BURGLARY,2010,59
18.0,BURGLARY,2011,87
18.0,BURGLARY,2012,102
18.0,BURGLARY,2013,82
18.0,BURGLARY,2014,27
18.0,BURGLARY,2015,41
18.0,BURGLARY,2016,55
18.0,BURGLARY,2017,42
18.0,BURGLARY,2018,18
18.0,CRIM SEXUAL ASSAULT,2003,4
18.0,CRIM SEXUAL ASSAULT,2004,1
18.0,CRIM SEXUAL ASSAULT,2005,3
18.0,CRIM SEXUAL ASSAULT,2006,6
18.0,CRIM SEXUAL ASSAULT,2007,3
18.0,CRIM SEXUAL ASSAULT,2008,1
18.0,CRIM SEXUAL ASSAULT,2009,2
18.0,CRIM SEXUAL ASSAULT,2010,1
18.0,CRIM SEXUAL ASSAULT,2011,3
18.0,CRIM SEXUAL ASSAULT,2013,5
18.0,CRIM SEXUAL ASSAULT,2014,3
18.0,CRIM SEXUAL ASSAULT,2015,2
18.0,CRIM SEXUAL ASSAULT,2016,1
18.0,CRIM SEXUAL ASSAULT,2017,5
18.0,CRIM SEXUAL ASSAULT,2018,1
18.0,CRIMINAL DAMAGE,2002,117
18.0,CRIMINAL DAMAGE,2003,254
18.0,CRIMINAL DAMAGE,2004,226
18.0,CRIMINAL DAMAGE,2005,170
18.0,CRIMINAL DAMAGE,2006,175
18.0,CRIMINAL DAMAGE,2007,196
18.0,CRIMINAL DAMAGE,2008,152
18.0,CRIMINAL DAMAGE,2009,174
18.0,CRIMINAL DAMAGE,2010,146
18.0,CRIMINAL DAMAGE,2011,138
18.0,CRIMINAL DAMAGE,2012,105
18.0,CRIMINAL DAMAGE,2013,91
18.0,CRIMINAL DAMAGE,2014,72
18.0,CRIMINAL DAMAGE,2015,86
18.0,CRIMINAL DAMAGE,2016,97
18.0,CRIMINAL DAMAGE,2017,94
18.0,CRIMINAL DAMAGE,2018,28
18.0,CRIMINAL TRESPASS,2002,14
18.0,CRIMINAL TRESPASS,2003,16
18.0,CRIMINAL TRESPASS,2004,10
18.0,CRIMINAL TRESPASS,2005,18
18.0,CRIMINAL TRESPASS,2006,10
18.0,CRIMINAL TRESPASS,2007,8
18.0,CRIMINAL TRESPASS,2008,5
18.0,CRIMINAL TRESPASS,2009,16
18.0,CRIMINAL TRESPASS,2010,8
18.0,CRIMINAL TRESPASS,2011,11
18.0,CRIMINAL TRESPASS,2012,12
18.0,CRIMINAL TRESPASS,2013,10
18.0,CRIMINAL TRESPASS,2014,9
18.0,CRIMINAL TRESPASS,2015,11
18.0,CRIMINAL TRESPASS,2016,10
18.0,CRIMINAL TRESPASS,2017,10
18.0,CRIMINAL TRESPASS,2018,5
18.0,DECEPTIVE PRACTICE,2001,1
18.0,DECEPTIVE PRACTICE,2002,23
18.0,DECEPTIVE PRACTICE,2003,45
18.0,DECEPTIVE PRACTICE,2004,23
18.0,DECEPTIVE PRACTICE,2005,30
18.0,DECEPTIVE PRACTICE,2006,39
18.0,DECEPTIVE PRACTICE,2007,41
18.0,DECEPTIVE PRACTICE,2008,40
18.0,DECEPTIVE PRACTICE,2009,41
18.0,DECEPTIVE PRACTICE,2010,31
18.0,DECEPTIVE PRACTICE,2011,25
18.0,DECEPTIVE PRACTICE,2012,21
18.0,DECEPTIVE PRACTICE,2013,23
18.0,DECEPTIVE PRACTICE,2014,50
18.0,DECEPTIVE PRACTICE,2015,42
18.0,DECEPTIVE PRACTICE,2016,61
18.0,DECEPTIVE PRACTICE,2017,39
18.0,DECEPTIVE PRACTICE,2018,13
18.0,GAMBLING,2002,6
18.0,GAMBLING,2004,2
18.0,GAMBLING,2006,2
18.0,GAMBLING,2007,1
18.0,GAMBLING,2010,1
18.0,GAMBLING,2011,1
18.0,HOMICIDE,2001,1
18.0,HOMICIDE,2006,1
18.0,HOMICIDE,2008,1
18.0,HOMICIDE,2009,2
18.0,HOMICIDE,2010,1
18.0,HOMICIDE,2015,1
18.0,HOMICIDE,2017,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2004,2
18.0,INTERFERENCE WITH PUBLIC OFFICER,2006,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2008,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2009,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2010,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2011,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2012,2
18.0,INTERFERENCE WITH PUBLIC OFFICER,2014,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2015,3
18.0,INTERFERENCE WITH PUBLIC OFFICER,2016,1
18.0,INTERFERENCE WITH PUBLIC OFFICER,2017,1
18.0,INTIMIDATION,2003,1
18.0,INTIMIDATION,2004,1
18.0,INTIMIDATION,2005,1
18.0,INTIMIDATION,2006,1
18.0,INTIMIDATION,2007,1
18.0,INTIMIDATION,2010,2
18.0,INTIMIDATION,2012,1
18.0,INTIMIDATION,2017,1
18.0,KIDNAPPING,2002,2
18.0,KIDNAPPING,2003,4
18.0,KIDNAPPING,2004,2
18.0,KIDNAPPING,2005,1
18.0,KIDNAPPING,2009,1
18.0,KIDNAPPING,2010,1
18.0,KIDNAPPING,2012,2
18.0,KIDNAPPING,2014,1
18.0,LIQUOR LAW VIOLATION,2002,3
18.0,LIQUOR LAW VIOLATION,2004,2
18.0,LIQUOR LAW VIOLATION,2005,4
18.0,LIQUOR LAW VIOLATION,2006,3
18.0,LIQUOR LAW VIOLATION,2007,2
18.0,LIQUOR LAW VIOLATION,2008,1
18.0,LIQUOR LAW VIOLATION,2010,2
18.0,LIQUOR LAW VIOLATION,2011,2
18.0,LIQUOR LAW VIOLATION,2012,1
18.0,MOTOR VEHICLE THEFT,2001,3
18.0,MOTOR VEHICLE THEFT,2002,87
18.0,MOTOR VEHICLE THEFT,2003,73
18.0,MOTOR VEHICLE THEFT,2004,95
18.0,MOTOR VEHICLE THEFT,2005,109
18.0,MOTOR VEHICLE THEFT,2006,66
18.0,MOTOR VEHICLE THEFT,2007,80
18.0,MOTOR VEHICLE THEFT,2008,61
18.0,MOTOR VEHICLE THEFT,2009,77
18.0,MOTOR VEHICLE THEFT,2010,79
18.0,MOTOR VEHICLE THEFT,2011,95
18.0,MOTOR VEHICLE THEFT,2012,78
18.0,MOTOR VEHICLE THEFT,2013,43
18.0,MOTOR VEHICLE THEFT,2014,37
18.0,MOTOR VEHICLE THEFT,2015,39
18.0,MOTOR VEHICLE THEFT,2016,40
18.0,MOTOR VEHICLE THEFT,2017,32
18.0,MOTOR VEHICLE THEFT,2018,10
18.0,NARCOTICS,2002,13
18.0,NARCOTICS,2003,28
18.0,NARCOTICS,2004,19
18.0,NARCOTICS,2005,37
18.0,NARCOTICS,2006,22
18.0,NARCOTICS,2007,25
18.0,NARCOTICS,2008,49
18.0,NARCOTICS,2009,46
18.0,NARCOTICS,2010,25
18.0,NARCOTICS,2011,24
18.0,NARCOTICS,2012,43
18.0,NARCOTICS,2013,27
18.0,NARCOTICS,2014,18
18.0,NARCOTICS,2015,12
18.0,NARCOTICS,2016,7
18.0,NARCOTICS,2017,10
18.0,NARCOTICS,2018,3
18.0,OBSCENITY,2007,1
18.0,OBSCENITY,2016,1
18.0,OFFENSE INVOLVING CHILDREN,2002,6
18.0,OFFENSE INVOLVING CHILDREN,2003,6
18.0,OFFENSE INVOLVING CHILDREN,2004,6
18.0,OFFENSE INVOLVING CHILDREN,2005,8
18.0,OFFENSE INVOLVING CHILDREN,2006,9
18.0,OFFENSE INVOLVING CHILDREN,2007,11
18.0,OFFENSE INVOLVING CHILDREN,2008,6
18.0,OFFENSE INVOLVING CHILDREN,2009,7
18.0,OFFENSE INVOLVING CHILDREN,2010,6
18.0,OFFENSE INVOLVING CHILDREN,2011,10
18.0,OFFENSE INVOLVING CHILDREN,2012,5
18.0,OFFENSE INVOLVING CHILDREN,2013,6
18.0,OFFENSE INVOLVING CHILDREN,2014,5
18.0,OFFENSE INVOLVING CHILDREN,2015,9
18.0,OFFENSE INVOLVING CHILDREN,2016,5
18.0,OFFENSE INVOLVING CHILDREN,2017,2
18.0,OFFENSE INVOLVING CHILDREN,2018,6
18.0,OTHER OFFENSE,2001,1
18.0,OTHER OFFENSE,2002,81
18.0,OTHER OFFENSE,2003,85
18.0,OTHER OFFENSE,2004,84
18.0,OTHER OFFENSE,2005,92
18.0,OTHER OFFENSE,2006,95
18.0,OTHER OFFENSE,2007,103
18.0,OTHER OFFENSE,2008,90
18.0,OTHER OFFENSE,2009,96
18.0,OTHER OFFENSE,2010,86
18.0,OTHER OFFENSE,2011,82
18.0,OTHER OFFENSE,2012,63
18.0,OTHER OFFENSE,2013,48
18.0,OTHER OFFENSE,2014,42
18.0,OTHER OFFENSE,2015,51
18.0,OTHER OFFENSE,2016,61
18.0,OTHER OFFENSE,2017,61
18.0,OTHER OFFENSE,2018,14
18.0,PROSTITUTION,2002,4
18.0,PROSTITUTION,2004,4
18.0,PROSTITUTION,2005,3
18.0,PROSTITUTION,2006,3
18.0,PROSTITUTION,2010,1
18.0,PROSTITUTION,2011,1
18.0,PUBLIC PEACE VIOLATION,2002,6
18.0,PUBLIC PEACE VIOLATION,2003,12
18.0,PUBLIC PEACE VIOLATION,2004,7
18.0,PUBLIC PEACE VIOLATION,2005,3
18.0,PUBLIC PEACE VIOLATION,2006,5
18.0,PUBLIC PEACE VIOLATION,2007,3
18.0,PUBLIC PEACE VIOLATION,2008,6
18.0,PUBLIC PEACE VIOLATION,2009,11
18.0,PUBLIC PEACE VIOLATION,2010,5
18.0,PUBLIC PEACE VIOLATION,2011,1
18.0,PUBLIC PEACE VIOLATION,2012,7
18.0,PUBLIC PEACE VIOLATION,2013,6
18.0,PUBLIC PEACE VIOLATION,2014,2
18.0,PUBLIC PEACE VIOLATION,2015,4
18.0,PUBLIC PEACE VIOLATION,2016,4
18.0,PUBLIC PEACE VIOLATION,2017,2
18.0,PUBLIC PEACE VIOLATION,2018,1
18.0,ROBBERY,2002,30
18.0,ROBBERY,2003,23
18.0,ROBBERY,2004,14
18.0,ROBBERY,2005,22
18.0,ROBBERY,2006,26
18.0,ROBBERY,2007,25
18.0,ROBBERY,2008,25
18.0,ROBBERY,2009,19
18.0,ROBBERY,2010,18
18.0,ROBBERY,2011,11
18.0,ROBBERY,2012,12
18.0,ROBBERY,2013,20
18.0,ROBBERY,2014,14
18.0,ROBBERY,2015,15
18.0,ROBBERY,2016,15
18.0,ROBBERY,2017,21
18.0,ROBBERY,2018,3
18.0,SEX OFFENSE,2002,2
18.0,SEX OFFENSE,2003,6
18.0,SEX OFFENSE,2004,6
18.0,SEX OFFENSE,2005,3
18.0,SEX OFFENSE,2006,1
18.0,SEX OFFENSE,2007,6
18.0,SEX OFFENSE,2008,4
18.0,SEX OFFENSE,2009,2
18.0,SEX OFFENSE,2010,1
18.0,SEX OFFENSE,2011,3
18.0,SEX OFFENSE,2012,3
18.0,SEX OFFENSE,2013,3
18.0,SEX OFFENSE,2014,2
18.0,SEX OFFENSE,2015,4
18.0,SEX OFFENSE,2016,1
18.0,SEX OFFENSE,2017,2
18.0,SEX OFFENSE,2018,1
18.0,STALKING,2012,1
18.0,THEFT,2001,5
18.0,THEFT,2002,274
18.0,THEFT,2003,353
18.0,THEFT,2004,270
18.0,THEFT,2005,214
18.0,THEFT,2006,256
18.0,THEFT,2007,267
18.0,THEFT,2008,255
18.0,THEFT,2009,247
18.0,THEFT,2010,214
18.0,THEFT,2011,174
18.0,THEFT,2012,155
18.0,THEFT,2013,126
18.0,THEFT,2014,123
18.0,THEFT,2015,122
18.0,THEFT,2016,133
18.0,THEFT,2017,107
18.0,THEFT,2018,42
18.0,WEAPONS VIOLATION,2002,3
18.0,WEAPONS VIOLATION,2003,2
18.0,WEAPONS VIOLATION,2004,1
18.0,WEAPONS VIOLATION,2005,2
18.0,WEAPONS VIOLATION,2006,3
18.0,WEAPONS VIOLATION,2007,3
18.0,WEAPONS VIOLATION,2008,2
18.0,WEAPONS VIOLATION,2009,2
18.0,WEAPONS VIOLATION,2010,1
18.0,WEAPONS VIOLATION,2011,6
18.0,WEAPONS VIOLATION,2012,2
18.0,WEAPONS VIOLATION,2013,3
18.0,WEAPONS VIOLATION,2014,2
18.0,WEAPONS VIOLATION,2015,3
18.0,WEAPONS VIOLATION,2016,1
18.0,WEAPONS VIOLATION,2017,3
19.0,ARSON,2002,25
19.0,ARSON,2003,28
19.0,ARSON,2004,31
19.0,ARSON,2005,15
19.0,ARSON,2006,27
19.0,ARSON,2007,40
19.0,ARSON,2008,19
19.0,ARSON,2009,30
19.0,ARSON,2010,26
19.0,ARSON,2011,14
19.0,ARSON,2012,25
19.0,ARSON,2013,14
19.0,ARSON,2014,12
19.0,ARSON,2015,13
19.0,ARSON,2016,20
19.0,ARSON,2017,14
19.0,ARSON,2018,3
19.0,ASSAULT,2002,368
19.0,ASSAULT,2003,490
19.0,ASSAULT,2004,476
19.0,ASSAULT,2005,545
19.0,ASSAULT,2006,442
19.0,ASSAULT,2007,488
19.0,ASSAULT,2008,458
19.0,ASSAULT,2009,490
19.0,ASSAULT,2010,412
19.0,ASSAULT,2011,382
19.0,ASSAULT,2012,389
19.0,ASSAULT,2013,320
19.0,ASSAULT,2014,339
19.0,ASSAULT,2015,372
19.0,ASSAULT,2016,355
19.0,ASSAULT,2017,337
19.0,ASSAULT,2018,112
19.0,BATTERY,2001,2
19.0,BATTERY,2002,981
19.0,BATTERY,2003,1408
19.0,BATTERY,2004,1409
19.0,BATTERY,2005,1378
19.0,BATTERY,2006,1274
19.0,BATTERY,2007,1399
19.0,BATTERY,2008,1349
19.0,BATTERY,2009,1356
19.0,BATTERY,2010,1288
19.0,BATTERY,2011,1086
19.0,BATTERY,2012,1128
19.0,BATTERY,2013,1023
19.0,BATTERY,2014,940
19.0,BATTERY,2015,977
19.0,BATTERY,2016,920
19.0,BATTERY,2017,850
19.0,BATTERY,2018,329
19.0,BURGLARY,2001,2
19.0,BURGLARY,2002,625
19.0,BURGLARY,2003,653
19.0,BURGLARY,2004,544
19.0,BURGLARY,2005,678
19.0,BURGLARY,2006,566
19.0,BURGLARY,2007,563
19.0,BURGLARY,2008,609
19.0,BURGLARY,2009,610
19.0,BURGLARY,2010,659
19.0,BURGLARY,2011,723
19.0,BURGLARY,2012,463
19.0,BURGLARY,2013,459
19.0,BURGLARY,2014,305
19.0,BURGLARY,2015,258
19.0,BURGLARY,2016,329
19.0,BURGLARY,2017,327
19.0,BURGLARY,2018,110
19.0,CONCEALED CARRY LICENSE VIOLATION,2015,1
19.0,CONCEALED CARRY LICENSE VIOLATION,2016,1
19.0,CONCEALED CARRY LICENSE VIOLATION,2017,4
19.0,CRIM SEXUAL ASSAULT,2001,6
19.0,CRIM SEXUAL ASSAULT,2002,28
19.0,CRIM SEXUAL ASSAULT,2003,25
19.0,CRIM SEXUAL ASSAULT,2004,29
19.0,CRIM SEXUAL ASSAULT,2005,25
19.0,CRIM SEXUAL ASSAULT,2006,29
19.0,CRIM SEXUAL ASSAULT,2007,38
19.0,CRIM SEXUAL ASSAULT,2008,27
19.0,CRIM SEXUAL ASSAULT,2009,24
19.0,CRIM SEXUAL ASSAULT,2010,23
19.0,CRIM SEXUAL ASSAULT,2011,32
19.0,CRIM SEXUAL ASSAULT,2012,39
19.0,CRIM SEXUAL ASSAULT,2013,25
19.0,CRIM SEXUAL ASSAULT,2014,27
19.0,CRIM SEXUAL ASSAULT,2015,26
19.0,CRIM SEXUAL ASSAULT,2016,25
19.0,CRIM SEXUAL ASSAULT,2017,20
19.0,CRIM SEXUAL ASSAULT,2018,5
19.0,CRIMINAL DAMAGE,2002,888
19.0,CRIMINAL DAMAGE,2003,1227
19.0,CRIMINAL DAMAGE,2004,1136
19.0,CRIMINAL DAMAGE,2005,1181
19.0,CRIMINAL DAMAGE,2006,1265
19.0,CRIMINAL DAMAGE,2007,1238
19.0,CRIMINAL DAMAGE,2008,1196
19.0,CRIMINAL DAMAGE,2009,1164
19.0,CRIMINAL DAMAGE,2010,938
19.0,CRIMINAL DAMAGE,2011,863
19.0,CRIMINAL DAMAGE,2012,805
19.0,CRIMINAL DAMAGE,2013,698
19.0,CRIMINAL DAMAGE,2014,608
19.0,CRIMINAL DAMAGE,2015,567
19.0,CRIMINAL DAMAGE,2016,585
19.0,CRIMINAL DAMAGE,2017,528
19.0,CRIMINAL DAMAGE,2018,209
19.0,CRIMINAL TRESPASS,2002,112
19.0,CRIMINAL TRESPASS,2003,149
19.0,CRIMINAL TRESPASS,2004,167
19.0,CRIMINAL TRESPASS,2005,173
19.0,CRIMINAL TRESPASS,2006,185
19.0,CRIMINAL TRESPASS,2007,204
19.0,CRIMINAL TRESPASS,2008,161
19.0,CRIMINAL TRESPASS,2009,129
19.0,CRIMINAL TRESPASS,2010,133
19.0,CRIMINAL TRESPASS,2011,133
19.0,CRIMINAL TRESPASS,2012,118
19.0,CRIMINAL TRESPASS,2013,82
19.0,CRIMINAL TRESPASS,2014,95
19.0,CRIMINAL TRESPASS,2015,97
19.0,CRIMINAL TRESPASS,2016,95
19.0,CRIMINAL TRESPASS,2017,88
19.0,CRIMINAL TRESPASS,2018,32
19.0,DECEPTIVE PRACTICE,2001,5
19.0,DECEPTIVE PRACTICE,2002,189
19.0,DECEPTIVE PRACTICE,2003,216
19.0,DECEPTIVE PRACTICE,2004,189
19.0,DECEPTIVE PRACTICE,2005,220
19.0,DECEPTIVE PRACTICE,2006,272
19.0,DECEPTIVE PRACTICE,2007,271
19.0,DECEPTIVE PRACTICE,2008,281
19.0,DECEPTIVE PRACTICE,2009,261
19.0,DECEPTIVE PRACTICE,2010,202
19.0,DECEPTIVE PRACTICE,2011,182
19.0,DECEPTIVE PRACTICE,2012,204
19.0,DECEPTIVE PRACTICE,2013,235
19.0,DECEPTIVE PRACTICE,2014,253
19.0,DECEPTIVE PRACTICE,2015,228
19.0,DECEPTIVE PRACTICE,2016,298
19.0,DECEPTIVE PRACTICE,2017,320
19.0,DECEPTIVE PRACTICE,2018,104
19.0,GAMBLING,2002,9
19.0,GAMBLING,2003,16
19.0,GAMBLING,2004,12
19.0,GAMBLING,2005,6
19.0,GAMBLING,2006,8
19.0,GAMBLING,2008,3
19.0,GAMBLING,2009,4
19.0,GAMBLING,2011,1
19.0,HOMICIDE,2001,7
19.0,HOMICIDE,2002,7
19.0,HOMICIDE,2003,8
19.0,HOMICIDE,2004,7
19.0,HOMICIDE,2005,11
19.0,HOMICIDE,2006,5
19.0,HOMICIDE,2007,4
19.0,HOMICIDE,2008,5
19.0,HOMICIDE,2009,1
19.0,HOMICIDE,2010,6
19.0,HOMICIDE,2011,3
19.0,HOMICIDE,2012,8
19.0,HOMICIDE,2013,5
19.0,HOMICIDE,2014,5
19.0,HOMICIDE,2015,9
19.0,HOMICIDE,2016,7
19.0,HOMICIDE,2017,8
19.0,HOMICIDE,2018,5
19.0,INTERFERENCE WITH PUBLIC OFFICER,2002,1
19.0,INTERFERENCE WITH PUBLIC OFFICER,2003,10
19.0,INTERFERENCE WITH PUBLIC OFFICER,2004,10
19.0,INTERFERENCE WITH PUBLIC OFFICER,2005,18
19.0,INTERFERENCE WITH PUBLIC OFFICER,2006,18
19.0,INTERFERENCE WITH PUBLIC OFFICER,2007,13
19.0,INTERFERENCE WITH PUBLIC OFFICER,2008,8
19.0,INTERFERENCE WITH PUBLIC OFFICER,2009,17
19.0,INTERFERENCE WITH PUBLIC OFFICER,2010,14
19.0,INTERFERENCE WITH PUBLIC OFFICER,2011,32
19.0,INTERFERENCE WITH PUBLIC OFFICER,2012,40
19.0,INTERFERENCE WITH PUBLIC OFFICER,2013,37
19.0,INTERFERENCE WITH PUBLIC OFFICER,2014,41
19.0,INTERFERENCE WITH PUBLIC OFFICER,2015,38
19.0,INTERFERENCE WITH PUBLIC OFFICER,2016,20
19.0,INTERFERENCE WITH PUBLIC OFFICER,2017,13
19.0,INTERFERENCE WITH PUBLIC OFFICER,2018,3
19.0,INTIMIDATION,2002,8
19.0,INTIMIDATION,2003,6
19.0,INTIMIDATION,2004,10
19.0,INTIMIDATION,2005,4
19.0,INTIMIDATION,2006,4
19.0,INTIMIDATION,2007,9
19.0,INTIMIDATION,2008,8
19.0,INTIMIDATION,2009,6
19.0,INTIMIDATION,2010,2
19.0,INTIMIDATION,2011,7
19.0,INTIMIDATION,2012,6
19.0,INTIMIDATION,2013,4
19.0,INTIMIDATION,2014,4
19.0,INTIMIDATION,2015,6
19.0,INTIMIDATION,2016,11
19.0,INTIMIDATION,2017,3
19.0,INTIMIDATION,2018,1
19.0,KIDNAPPING,2002,13
19.0,KIDNAPPING,2003,15
19.0,KIDNAPPING,2004,15
19.0,KIDNAPPING,2005,13
19.0,KIDNAPPING,2006,7
19.0,KIDNAPPING,2007,3
19.0,KIDNAPPING,2008,13
19.0,KIDNAPPING,2009,13
19.0,KIDNAPPING,2010,11
19.0,KIDNAPPING,2011,3
19.0,KIDNAPPING,2012,5
19.0,KIDNAPPING,2013,6
19.0,KIDNAPPING,2014,11
19.0,KIDNAPPING,2015,8
19.0,KIDNAPPING,2016,8
19.0,KIDNAPPING,2017,7
19.0,KIDNAPPING,2018,2
19.0,LIQUOR LAW VIOLATION,2002,20
19.0,LIQUOR LAW VIOLATION,2003,35
19.0,LIQUOR LAW VIOLATION,2004,19
19.0,LIQUOR LAW VIOLATION,2005,29
19.0,LIQUOR LAW VIOLATION,2006,30
19.0,LIQUOR LAW VIOLATION,2007,28
19.0,LIQUOR LAW VIOLATION,2008,34
19.0,LIQUOR LAW VIOLATION,2009,23
19.0,LIQUOR LAW VIOLATION,2010,21
19.0,LIQUOR LAW VIOLATION,2011,23
19.0,LIQUOR LAW VIOLATION,2012,17
19.0,LIQUOR LAW VIOLATION,2013,17
19.0,LIQUOR LAW VIOLATION,2014,3
19.0,LIQUOR LAW VIOLATION,2015,8
19.0,LIQUOR LAW VIOLATION,2016,3
19.0,LIQUOR LAW VIOLATION,2017,1
19.0,MOTOR VEHICLE THEFT,2001,28
19.0,MOTOR VEHICLE THEFT,2002,584
19.0,MOTOR VEHICLE THEFT,2003,617
19.0,MOTOR VEHICLE THEFT,2004,610
19.0,MOTOR VEHICLE THEFT,2005,624
19.0,MOTOR VEHICLE THEFT,2006,564
19.0,MOTOR VEHICLE THEFT,2007,536
19.0,MOTOR VEHICLE THEFT,2008,497
19.0,MOTOR VEHICLE THEFT,2009,618
19.0,MOTOR VEHICLE THEFT,2010,651
19.0,MOTOR VEHICLE THEFT,2011,588
19.0,MOTOR VEHICLE THEFT,2012,492
19.0,MOTOR VEHICLE THEFT,2013,388
19.0,MOTOR VEHICLE THEFT,2014,266
19.0,MOTOR VEHICLE THEFT,2015,262
19.0,MOTOR VEHICLE THEFT,2016,259
19.0,MOTOR VEHICLE THEFT,2017,410
19.0,MOTOR VEHICLE THEFT,2018,89
19.0,NARCOTICS,2002,256
19.0,NARCOTICS,2003,388
19.0,NARCOTICS,2004,458
19.0,NARCOTICS,2005,546
19.0,NARCOTICS,2006,452
19.0,NARCOTICS,2007,540
19.0,NARCOTICS,2008,570
19.0,NARCOTICS,2009,614
19.0,NARCOTICS,2010,632
19.0,NARCOTICS,2011,549
19.0,NARCOTICS,2012,512
19.0,NARCOTICS,2013,402
19.0,NARCOTICS,2014,362
19.0,NARCOTICS,2015,368
19.0,NARCOTICS,2016,140
19.0,NARCOTICS,2017,120
19.0,NARCOTICS,2018,61
19.0,NON-CRIMINAL,2003,1
19.0,NON-CRIMINAL,2014,1
19.0,NON-CRIMINAL,2016,2
19.0,OBSCENITY,2002,1
19.0,OBSCENITY,2011,1
